window_size,variance,dom_freq,est_hr,snr,peak_sharpness,mean_confidence,std_confidence,mean_latency_ms
150,9.153046871336755,0.8,48.0,13.248816227021079,15.806913245145424,0.13647446036338806,0.0,0.15085935592651367
135,10.132567919419024,0.8888888888888888,53.33333333333333,13.272282847163297,13.949005404232805,0.07490694522857666,0.0,0.13413429260253906
120,11.004989001761368,0.75,45.0,23.237710135810513,13.422383973358752,0.02270260453224182,0.0,0.12881755828857422
105,12.292615396405767,0.8571428571428571,51.42857142857142,17.144457804230125,11.338636372472424,0.04393488168716431,0.0,0.133514404296875
90,12.866849875903672,1.0,60.0,11.0215283096582,9.168151470119765,0.001554936170578003,0.0,0.12748241424560547
75,12.006290215267688,0.8,48.0,26.277008643054202,8.670049014924079,0.00023114681243896484,0.0,0.12830495834350586
60,9.864136581865512,1.0,60.0,26.83715174481946,6.748534817822989,0.00013938546180725098,0.0,0.12794733047485352
45,10.117837878405476,1.3333333333333333,80.0,41.897372881632336,4.88343967113501,0.0004412531852722168,0.0,0.20401477813720703
30,7.655192976982685,1.0,60.0,67.36982222202884,3.9414915344881667,0.00020071864128112793,0.0,0.1293778419494629
